,id,ra,dec,flux_g,flux_i,flux_r,flux_u,flux_y,flux_z,host_galaxy,is_pointsource,is_variable,mag_r,redshift,truth_type
269,40749425634,54.4817701,-46.0768983,184080.0,533389.0,397956.0,25803.1,665424.0,606368.0,-1,1,1,17.4004,0.0,2
270,91881834,54.4902646,-46.1083325,55.4946,43.9451,50.8442,39.3809,33.1657,37.6662,-1,1,0,27.1344,0.0,2
271,41021114960,54.6113627,-46.0775878,63.7273,510.472,189.999,6.98857,969.912,789.426,-1,1,1,25.7031,0.0,2
272,41021135943,54.1832028,-46.0940623,119.565,798.491,370.95,12.9008,1346.93,1131.49,-1,1,1,24.9767,0.0,2
273,40969790883,54.473671,-46.0893347,28.4247,190.004,88.2346,3.06467,320.651,269.319,-1,1,1,26.5359,0.0,2
274,40749425088,54.5591133,-46.0699811,1748.51,15953.3,5186.09,185.724,32541.3,25972.0,-1,1,1,22.1129,0.0,2
275,17857315,54.0038023,-46.0929164,19872.4,14354.9,17273.9,14154.0,10375.6,11969.4,-1,1,0,20.8065,0.0,2
276,hl_ms_27827,54.6531846,-46.0904355,0.0,0.0,0.0,0.0,0.0,0.0,27827,1,1,,0.874095,3
277,hl_ms_26815,54.2609608,-46.0938,0.0,0.0,0.0,0.0,0.0,0.0,26815,1,1,,0.860772,3
278,hl_ms_54802,54.1735546,-46.0840151,0.0,0.0,0.0,0.0,0.0,0.0,54802,1,1,,1.15442,3
279,hl_ms_77920,54.6981094,-46.0744774,0.0,0.0,0.0,0.0,0.0,0.0,77920,1,1,,1.33451,3
280,106672233,54.0946534,-46.1066445,239.175,335.769,316.087,129.721,315.237,329.812,-1,1,0,25.1505,0.0,2
281,40969790227,54.4490218,-46.0811952,16.669,133.672,49.7296,1.82635,254.115,206.787,-1,1,1,27.1585,0.0,2
282,40969802648,54.104772,-46.0709995,100.267,565.574,307.101,11.8378,868.236,748.936,-1,1,1,25.1818,0.0,2
