ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.061235,0.8115196,1.29141,1.673519,1.562397,0.8483619,0.99971,0.2451293
2.16592,1.761856,2.67482,3.058428,5.140785,2.089466,0.8329856,1.0
1.177578,0.6131859,0.9774151,1.135523,3.857109,1.824929,0.7998539,0.1684532
0.7272167,0.3118553,0.4671688,0.4492779,3.625306,1.714849,0.6381634,0.1573904
1.688484,1.056986,1.482565,1.775932,5.131395,2.247257,0.6233971,0.9852185
1.104143,0.4270725,0.5762539,0.6241264,2.121529,1.023934,0.07308673,0.0
1.996443,1.157028,1.6029,1.92643,3.904052,1.703651,0.9576395,1.0
2.128181,1.108437,1.524096,1.85462,3.518567,1.571618,0.7028053,1.0
0.9150009,0.4007435,0.6013832,0.755209,3.663182,1.662546,0.5035894,0.9550144
1.898537,0.905674,1.257215,1.565487,2.496731,1.147498,0.2728277,1.0
1.913397,1.066921,1.516045,1.940864,4.670004,2.205328,0.7501777,0.7569295
1.768286,0.9214993,1.344141,1.672096,2.807897,1.337923,0.3442341,0.7790045
0.7711143,-0.1517735,-0.1114407,-0.1785984,4.782363,2.120074,0.4177676,0.1731109
1.90383,0.996748,1.369919,1.641016,4.070295,1.662654,0.9572852,1.0
2.392715,1.630953,2.15526,2.500647,3.441986,1.608938,0.7968682,1.0
1.932594,1.747753,2.461821,2.888191,3.239551,1.576519,0.9400488,0.9318491
1.876474,1.185184,1.598576,1.930515,4.000046,1.723712,0.6640247,1.0
2.379997,1.366943,1.874239,2.193964,6.408623,2.782231,0.8732247,0.882188
1.936567,1.309498,1.773766,2.090622,5.961776,2.605511,0.8100953,0.9998543
1.035942,0.4145775,0.670929,0.7793808,5.735847,2.70438,0.734892,0.2362334
0.932478,0.3610725,0.527853,0.6646481,3.454308,1.719237,0.7079244,0.0
0.9082146,0.2109833,0.3019543,0.3549309,5.690187,2.654552,0.5451038,0.5998718
0.9904728,0.4575777,0.6715221,0.8544188,7.365319,3.558116,0.857156,0.2583105
1.898855,0.9994793,1.374504,1.609474,2.353869,1.107552,0.3841412,0.885614
1.4042,0.8938026,1.327335,1.699894,8.783223,3.682276,0.1612874,0.3498144
5.483803,2.002916,2.606045,2.972712,4.759209,1.391272,0.823412,1.0
2.962759,1.748949,2.315187,2.64827,2.778286,1.271935,0.704842,1.0
